FipsSVI,Index,ValueCDC,Delta,MedianHouseholdIncome,ScoreCES,Score_SVI,ScaledIndex,ScaledCDC,ScaledCES,ScaledSVI
6001404800,10.45929479,10.5,0.040705209,84000,17.05815835,6.7007,4.556286932,4.487179487,2.593728794,4.766468225
6001404900,9.757079493,9.1,0.657079493,92674,17.65644561,4.6924,4.238933797,3.888888889,2.693298477,2.82241905
6001405000,8.838752881,8.4,0.438752881,149819,9.62351795,4.7352,3.823913175,3.58974359,1.356422186,2.863849765
6001405100,7.628726973,7.3,0.328726973,224670,6.344303181,2.3266,3.277064485,3.11965812,0.810680376,0.532307246
6001405200,10.7279267,7.8,2.927926697,90589,21.8160128,6.089,4.677690123,3.333333333,3.385552533,4.174338125
6001405301,10.30617778,7.8,2.506177779,66591,23.80275486,5.9559,4.487088548,3.333333333,3.716195167,4.045496346
6001405302,14.26053405,12.6,1.660534054,34895,33.43768795,8.6474,6.274186273,5.384615385,5.319684474,6.650888147
6001405401,16.44527497,14,2.445274975,40823,39.67805991,9.6851,7.261539273,5.982905983,6.358235507,7.655389381
6001405402,15.45974218,15.7,0.240257817,36701,30.09002158,10.0821,6.816146069,6.709401709,4.762550637,8.039688302
6001405500,14.92812619,11.2,3.728126193,44545,27.33674928,8.0664,6.575892116,4.786324786,4.304338562,6.088475872
6001405600,12.06450933,10.5,1.564509331,54592,25.43373457,7.4394,5.281733769,4.487179487,3.987630215,5.48153526
6001405700,15.35432995,13.5,1.854329948,54861,30.46454242,9.2449,6.768506971,5.769230769,4.824880096,7.229272542
6001405800,17.19737863,14.3,2.897378625,59748,24.19725289,8.273,7.601438521,6.111111111,3.78184932,6.288466192
6001405901,21.07000688,16.6,4.470006876,52932,34.89461916,10.9901,9.351600787,7.094017094,5.56215358,8.918638982
6001405902,20.04184085,15.8,4.241840851,54747,34.49350422,10.5147,8.886940286,6.752136752,5.495398212,8.458448284
6001406000,18.32300073,15.1,3.223000729,33529,50.28433057,10.0648,8.110142482,6.452991453,8.123379222,8.022941774
6001406100,16.2826749,15,1.282674904,64297,47.31339596,9.7755,7.188055197,6.41025641,7.628942796,7.742897246
6001406201,18.0715247,14.2,3.8715247,35176,39.63601886,11.6239,7.99649257,6.068376068,6.351238845,9.532162044
6001406202,19.15735413,18.5,0.657354129,29615,36.56900054,11.8458,8.487212973,7.905982906,5.840811732,9.746962877
6001406300,17.06508583,14.1,2.965085834,59278,27.58525711,11.0665,7.541651255,6.025641026,4.345696364,8.992594744
6001406400,13.36343284,13.1,0.263432839,68750,30.26298778,9.3564,5.868758075,5.598290598,4.791336458,7.337205363
6001406500,17.33741462,13.9,3.437414625,47459,34.75761316,9.8342,7.664725184,5.94017094,5.53935242,7.799719278
6001406601,15.84246968,14.5,1.34246968,59231,25.87926403,9.7108,6.989112639,6.196581197,4.061777249,7.68026717
6001406602,15.28741172,13.9,1.387411723,77997,24.52106687,9.1835,6.738264525,5.94017094,3.835739912,7.169836891
6001406700,12.06822823,10.3,1.76822823,117432,15.24432727,6.7937,5.283414456,4.401709402,2.291862791,4.856492909
6001406800,11.17561984,9.5,1.675619841,103571,12.7661641,6.3963,4.880016707,4.05982906,1.879435625,4.471806786
6001406900,10.98027747,10.7,0.280277472,103623,16.04768852,5.8304,4.791735359,4.572649573,2.425561819,3.924011422
6001407000,17.64047536,15.3,2.340475361,51663,27.21377167,10.691,7.801687844,6.538461538,4.28387207,8.629107981
6001407101,17.53915126,16.6,0.939151261,34568,27.1793556,8.2001,7.755896303,7.094017094,4.278144392,6.217898456
6001407102,17.0902524,12.8,4.290252401,36339,32.92800692,10.1922,7.553024817,5.47008547,5.234861042,8.146265912
6001407200,21.66427003,17.3,4.364270033,44354,41.75975761,12.1072,9.620166961,7.393162393,6.704681089,10
6001407300,14.58072936,14.7,0.119270644,48101,52.53924686,9.3847,6.418892581,6.282051282,8.498652629,7.364599971
6001407400,19.18041774,15.7,3.48041774,34604,40.61695176,10.9074,8.497636143,6.709401709,6.514490151,8.838584773
6001407500,21.3144655,17.6,3.714465501,27732,37.58567722,11.544,9.462079312,7.521367521,6.01001168,9.454818257
6001407600,16.52116093,14.8,1.721160932,60783,30.38658627,8.7547,7.295834519,6.324786325,4.81190628,6.754755336
6001407700,11.69701891,11,0.697018907,100147,13.10790411,6.9656,5.115653311,4.700854701,1.936309549,5.022893374
6001407800,7.962448608,8.5,0.537551392,90964,15.17063825,6.63,3.427883767,3.632478632,2.27959913,4.698030105
6001407900,10.172679,9.2,0.972678995,112595,12.8928858,5.3715,4.426756257,3.931623932,1.900525226,3.479792846
6001408000,6.242100897,8.1,1.857899103,159140,5.944267218,4.7408,2.650404636,3.461538462,0.744104575,2.869270606
6001408100,9.709115622,8.4,1.309115622,136933,12.19002697,3.2692,4.217257418,3.58974359,1.783552269,1.44475098
6001408200,13.25859724,12.3,0.958597238,67966,16.41884384,7.4669,5.821379576,5.256410256,2.487331172,5.508155462
6001408300,12.91944527,11.2,1.71944527,97041,24.51646341,8.1208,5.668106156,4.786324786,3.834973784,6.141135473
6001408400,18.44410937,17.7,0.744109367,36833,20.9666921,10.4673,8.164875277,7.564102564,3.244204726,8.412564735
6001408500,19.19820228,15.6,3.598202282,48636,25.88935242,10.1292,8.505673536,6.666666667,4.063456206,8.085281448
6001408600,20.65527092,20,0.655270923,45867,26.9768832,11.0541,9.164168591,8.547008547,4.244448015,8.980591452
6001408700,20.58221912,16.2,4.382219119,47967,30.69307523,10.6722,9.131154188,6.923076923,4.862913565,8.610909443
6001408800,21.64385215,18.9,2.743852147,27899,59.64724128,11.4246,9.610939477,8.076923077,9.68159733,9.339238178
6001408900,19.99214302,19.1,0.892143024,27275,47.97301203,11.6504,8.864480278,8.162393162,7.738719098,9.557814239
6001409000,16.58209442,14.9,1.682094416,46483,61.56043671,10.4467,7.323372273,6.367521368,10,8.392623784
6001409100,19.26263948,17.8,1.462639478,71429,59.86808441,9.6457,8.534794727,7.606837607,9.718351047,7.617249891
6001409200,16.48358761,14.8,1.683587611,49774,55.29200797,8.6946,7.278853956,6.324786325,8.95677963,6.696578094
6001409300,19.80363779,16.6,3.203637789,41081,44.82919239,11.8127,8.779288845,7.094017094,7.21551036,9.714921833
6001409400,19.3450463,17,2.345046296,52851,49.22347111,10.11,8.572036955,7.264957265,7.946826175,8.066695707
6001409500,20.11693168,17.9,2.21693168,49744,51.44195246,11.6378,8.920876189,7.64957265,8.316035914,9.545617347
6001409600,20.23441113,17.6,2.634411125,44818,32.45595524,10.4201,8.973968838,7.521367521,5.156300059,8.366874788
6001409700,18.02750917,16,2.027509165,43019,20.86957354,10.223,7.976600569,6.837606838,3.228041815,8.176080538
6001409800,14.08572077,13.1,0.985720773,70400,27.37861998,8.892,6.195182664,5.598290598,4.311306874,6.887662746
6001409900,8.822054884,9.9,1.077945116,137623,23.99155409,5.2411,3.816366826,4.230769231,3.747615992,3.353564687
6001410000,8.666837046,9.7,1.033162954,120759,23.38959152,3.8971,3.746219013,4.145299145,3.647434648,2.052562799
6001410100,12.91605319,14.3,1.383946812,59783,33.38000984,8.7581,5.666573167,6.111111111,5.310085422,6.758046561
6001410200,14.76225845,13.9,0.862258447,61261,26.65578267,9.885,6.500931275,5.94017094,4.191009007,7.848894052
6001410300,18.73696275,16.1,2.636962752,42692,29.28233189,10.1647,8.297224914,6.88034188,4.628131253,8.119645709
6001410400,14.59796432,12.6,1.997964317,78824,26.25429793,9.1905,6.426681601,5.384615385,4.124192094,7.176612942
6001410500,17.29433383,17.1,0.194333827,27707,43.75445972,10.5597,7.64525562,7.307692308,7.03664847,8.502008615
6001421100,7.333178785,8.2,0.866821215,204863,1.473144298,3.1284,3.143496982,3.504273504,0,1.308455544
6001421200,7.652424682,7.7,0.047575318,206625,1.750538426,2.4671,3.287774224,3.290598291,0.04616519,0.668312279
6001421300,8.457098092,7.9,0.557098092,171308,3.899410684,3.0121,3.651431396,3.376068376,0.403790267,1.195876289
6001421400,7.171378096,7.8,0.628621904,161417,3.113977843,4.1274,3.070374172,3.333333333,0.273074968,2.275494894
6001421500,7.04118662,7.5,0.45881338,181422,4.621730632,2.9477,3.011536557,3.205128205,0.524002032,1.133536615
6001421600,7.780879708,7.7,0.080879708,166962,2.038732546,3.5942,3.345827082,3.290598291,0.094127764,1.759353371
6001421700,8.918074677,7.2,1.718074677,99620,6.278454902,5.881,3.859761184,3.076923077,0.799721607,3.972992595
6001421800,8.063517957,7.5,0.563517957,115870,8.136862637,4.2467,3.473560178,3.205128205,1.109006259,2.390978171
6001421900,9.433750757,8.1,1.333750757,118103,11.47765472,4.9182,4.092811392,3.461538462,1.664996044,3.040995112
6001422000,12.49645271,11.4,1.096452707,73913,39.95150663,8.2078,5.476942539,4.871794872,6.403743751,6.225352113
6001422100,10.08538398,8.5,1.585383977,61017,29.53902233,5.2807,4.387304898,3.632478632,4.670850841,3.391897778
6001422200,10.18268727,8.1,2.082687266,69761,26.96596597,4.8764,4.431279309,3.461538462,4.242631121,3.000532404
6001422300,10.46864063,8.9,1.568640629,71972,13.04478973,5.2139,4.56051061,3.803418803,1.925805769,3.327234887
6001422400,9.907419091,5.9,4.007419091,55290,14.57043589,4.2935,4.30687698,2.521367521,2.179710728,2.436280916
6001422500,10.38032286,6.7,3.680322857,57510,12.31510603,5.7346,4.520597036,2.863247863,1.804368493,3.831276318
6001422700,11.56796162,8.1,3.467961624,52607,13.64203795,7.8382,5.057328274,3.461538462,2.025202528,5.867576594
6001422800,12.95402903,7.7,5.254029031,28554,15.9079908,7.8841,5.683735643,3.290598291,2.402312689,5.912008131
6001422900,14.38774617,8,6.387746166,44093,22.3780081,7.7184,6.33167742,3.418803419,3.479082342,5.751609312
6001423000,10.78636523,7,3.786365228,106169,19.12533027,5.9973,4.704100329,2.991452991,2.937756931,4.08557185
6001423100,11.82375854,9.7,2.123758535,67369,27.74447571,6.9449,5.172930927,4.145299145,4.372194245,5.002855622
6001423200,12.68433271,10.2,2.48433271,60039,36.09161813,7.0168,5.56185141,4.358974359,5.761363583,5.072455351
6001423300,11.58870558,11.2,0.388705583,73072,24.34625421,6.2216,5.06670312,4.786324786,3.806646795,4.3026959
6001423400,12.48889353,9.3,3.188893526,54599,24.13541911,7.5626,5.473526308,3.974358974,3.771558662,5.600793766
6001423500,11.01794237,9.8,1.217942372,74292,14.76956153,7.7305,4.808757309,4.188034188,2.212850122,5.763322201
6001423601,9.150966563,8,1.150966563,82781,10.8134054,5.1096,3.965012338,3.418803419,1.554448657,3.22627172
6001423602,15.09502367,8.4,6.695023667,49110,14.20909853,6.1555,6.651318323,3.58974359,2.119575325,4.238710614
6001423700,10.62660104,8.6,2.02660104,58962,9.70427809,6.6051,4.631897877,3.675213675,1.369862655,4.673926722
6001423800,7.261723124,7.5,0.238276876,175143,3.904368666,4.1999,3.111203926,3.205128205,0.404615397,2.345675427
6001423901,9.479104963,8.2,1.279104963,67697,14.16028658,5.4454,4.113308381,3.504273504,2.111451818,3.55132859
6001423902,7.841284121,7,0.841284121,94271,13.86816157,4.6586,3.373125732,2.991452991,2.062835048,2.789700402
6001424001,12.58841226,10.8,1.788412264,52280,19.70983074,7.1,5.518501949,4.615384615,3.035032153,5.152993563
6001424002,11.93567481,11.8,0.135674808,53597,30.55277136,7.155,5.223509404,5.042735043,4.839563558,5.206233967
6001427100,9.198940894,9.2,0.001059106,136400,17.42963641,4.6384,3.986693444,3.931623932,2.655551861,2.770146653
6001427200,12.2517291,10,2.251729103,86207,34.67166974,7.5161,5.366344261,4.273504274,5.525049326,5.555781424
6001427300,12.91198706,11.3,1.611987055,86346,33.75623058,7.6878,5.664735554,4.829059829,5.372697785,5.721988287
6001427600,16.59624393,13.1,3.496243928,64971,33.77323291,8.6051,7.329766882,5.598290598,5.37552739,6.609941436
6001427700,10.61542311,9.3,1.315423106,80740,19.55963165,5.0654,4.626846218,3.974358974,3.010035339,3.183485794
6001427800,10.02786577,8.5,1.52786577,98430,17.09315712,4.7567,4.361310615,3.632478632,2.599553448,2.884661923
6001427900,10.03264501,8.8,1.232645009,86210,20.26667114,4.7978,4.363470503,3.760683761,3.127704059,2.924447026
6001428000,11.33476465,9.1,2.234764646,72651,37.25629163,6.5695,4.95193924,3.888888889,5.955193835,4.63946566
6001428100,10.58921802,9.6,0.989218017,98026,25.46537553,6.0479,4.615003316,4.102564103,3.992896047,4.134553023
6001428200,11.04970565,9.2,1.849705646,116098,16.95356744,5.695,4.82311213,3.931623932,2.5763223,3.792943226
6001428301,10.0777871,8.1,1.977787097,122788,10.05360321,3.5023,4.38387163,3.461538462,1.427998928,1.670393495
6001428302,10.28841955,7.6,2.68841955,181153,8.172844318,4.7265,4.479063047,3.247863248,1.114994494,2.855428101
6001428400,10.8701239,10.2,0.670123903,83458,25.12941899,6.5395,4.741953503,4.358974359,3.936984633,4.610425439
6001428500,11.00755085,9,2.007550846,92807,20.92718545,7.4679,4.804061053,3.846153846,3.23762985,5.509123469
